country,variety
Croatia,"['White Blend' 'Posip' 'Malvazija' 'Red Blend' 'Plavac Mali' 'Malvasia'
 'Grenache' 'Zlahtina' 'Malvasia Istriana' 'Teran' 'Zweigelt' 'Rosé'
 'Traminer' 'Welschriesling' 'Blaufränkisch' 'Pinot Noir' 'Debit']"
Cyprus,['Red Blend' 'Xinisteri' 'White Blend' 'Xynisteri' 'Cabernet Sauvignon']
Czech Republic,"['Rivaner' 'Pinot Blanc' 'Cabernet Sauvignon' 'Grüner Veltliner'
 'Cabernet Moravia' 'Welschriesling']"
England,['Chardonnay' 'Sparkling Blend']
France,"['Provence red blend' 'Sparkling Blend' 'Rhône-style White Blend' 'Syrah'
 'Chardonnay' 'Sauvignon Blanc' 'Pinot Noir' 'Malbec-Merlot'
 'Merlot-Malbec' 'Ugni Blanc-Colombard' 'Rosé' 'Gamay'
 'Bordeaux-style Red Blend' 'Rhône-style Red Blend' 'Riesling'
 'Bordeaux-style White Blend' 'Tannat-Cabernet' 'Malbec' 'Sylvaner'
 'Chasselas' 'Alsace white blend' 'White Blend' 'Semillon-Sauvignon Blanc'
 'Grenache-Syrah' 'Red Blend' 'Pinot Blanc' 'Pinot Noir-Gamay'
 'Gros Manseng' 'Romorantin' 'Gewürztraminer' 'Tannat-Merlot' 'Duras'
 'Pinot Auxerrois' 'Champagne Blend' 'Colombard-Sauvignon Blanc'
 'Marsanne' 'Viognier' 'Melon' 'Tannat-Cabernet Franc' 'Tannat'
 'Auxerrois' 'Negrette' 'Merlot' 'Cabernet Franc' 'Chenin Blanc'
 'Roussanne' 'Chardonnay-Sauvignon Blanc' 'Muscat' 'Pinot Gris' 'Mauzac'
 'Gros and Petit Manseng' 'Fer Servadou' 'Chenin Blanc-Chardonnay'
 'Cabernet Sauvignon' 'Cabernet-Syrah' 'Colombard-Ugni Blanc' 'Colombard'
 'Pied de Perdrix' 'Syrah-Merlot' 'Grenache' 'Sauvignon Blanc-Chardonnay'
 'Mondeuse' 'Jacquère' 'Chardonnay-Viognier' 'Aligoté' 'Mansois' 'Rolle'
 'G-S-M' 'Syrah-Grenache' 'Savagnin' 'Braucol' 'Cabernet Sauvignon-Syrah'
 'Merlot-Cabernet Sauvignon' 'Malbec-Tannat' 'Cinsault' 'Segalin'
 'Cabernet Sauvignon-Merlot' 'Petit Manseng' 'Carignan' 'Nielluciu'
 'Vermentino' 'Mourvèdre' 'Chardonnay-Sauvignon'
 'Muscat Blanc à Petit Grain' 'Muscadelle' 'Syrah-Mourvèdre'
 'Grenache-Carignan' 'Syrah-Carignan' 'Provence white blend'
 ""Loin de l'Oeil"" 'Picpoul' 'Cabernet' 'Sauvignon Blanc-Semillon'
 'Sauvignon' 'Pinot Blanc-Pinot Noir' 'Marsanne-Roussanne' 'Altesse'
 'Sémillon' 'Cabernet Franc-Cabernet Sauvignon' 'Merlot-Cabernet'
 'Grolleau' 'Sauvignon Gris' 'Grenache Blanc' 'Malvoisie' 'Muscadel'
 'Merlot-Grenache' 'Gamay Noir' 'Grenache Gris' ""Muscat d'Alexandrie""
 'Cabernet Merlot' 'Shiraz' 'Clairette' 'Cabernet Sauvignon Grenache'
 'Shiraz-Merlot' 'Roussanne-Viognier' 'Pinot Meunier' 'Muscadet'
 'Silvaner' 'Tokay Pinot Gris']"
Georgia,"['Rkatsiteli' 'Mtsvane' 'Saperavi' 'Saperavi-Merlot' 'Sparkling Blend'
 'Chinuri' 'White Blend']"
Germany,"['Riesling' 'Silvaner' 'Lemberger' 'Früburgunder' 'Scheurebe' 'Pinot Gris'
 'Müller-Thurgau' 'Schwartzriesling' 'Pinot Blanc' 'Spätburgunder'
 'Red Blend' 'Rivaner' 'Pinot Noir' 'Rieslaner' 'Dornfelder'
 'Gewürztraminer' 'Grauburgunder' 'Muskateller' 'Elbling' 'Auxerrois'
 'St. Laurent' 'Rosé' 'Pinot Grigio' 'Kerner' 'Chardonnay'
 'Weissburgunder' 'White Blend' 'Chardonnay Weissburgunder'
 'Cabernet Sauvignon' 'Silvaner-Traminer' 'Gewürztraminer-Riesling'
 'Chardonnay-Pinot Blanc' 'Sparkling Blend' 'Traminer' 'Sauvignon Blanc'
 'Huxelrebe']"
Greece,"['White Blend' 'Assyrtiko' 'Malagouzia' 'Agiorgitiko' 'Assyrtico'
 'Red Blend' 'Malagousia' 'Roditis' 'Moschofilero' 'Mavrotragano'
 'Cabernet Blend' 'Petroulianos' 'Mavrodaphne' 'Bordeaux-style Red Blend'
 'Merlot' 'Muscat' 'Savatiano' 'Chardonnay' 'Sauvignon Blanc'
 'Cabernet Sauvignon' 'Xinomavro' 'Mavroudi' 'Sauvignon' 'Moscofilero'
 'Robola' 'Syrah' 'Viognier' 'Rosé' 'Cabernet Sauvignon Grenache' 'Aidani'
 'St. George' 'Cabernet Sauvignon-Merlot' 'Vilana' 'Traminer' 'Mandilaria'
 'Dafni' 'Malvasia' 'Sideritis' 'Athiri'
 'Cabernet Sauvignon-Cabernet Franc' 'Muscat of Alexandria'
 'Cabernet Sauvignon-Syrah' 'Rhône-style Red Blend']"
Hungary,"['Kekfrankos' 'Furmint' 'White Blend' 'Cabernet Franc' 'Rosé' 'Kadarka'
 'Red Blend' 'Grüner Veltliner' 'Cabernet Sauvignon'
 'Bordeaux-style Red Blend' 'Sparkling Blend' 'Királyleányka'
 'Cserszegi Fűszeres' 'Hárslevelü' 'Tokaji' 'Blaufränkisch' 'Shiraz'
 'Chardonnay' 'Sauvignon Blanc' 'Gewürztraminer' 'Pinot Gris' 'Merlot'
 'Blauer Portugieser' 'Pinot Noir' 'Muscat Blanc' 'Traminer'
 'Irsai Oliver']"
India,['Shiraz' 'Sauvignon Blanc' 'Chenin Blanc' 'Cabernet Sauvignon']
