variety,count
Madeira Blend,7
Mataro,7
Ciliegiolo,7
Siria,7
Viognier-Marsanne,7
Chenin Blanc-Sauvignon Blanc,7
Chasselas,7
Posip,7
Assyrtiko,7
Blauer Portugieser,7
Carignan-Grenache,7
Malbec-Tempranillo,7
Schiava,7
Bastardo,7
Tokay,7
Mauzac,7
Vilana,6
Savagnin,6
Mondeuse,6
Apple,6
Grechetto,6
Syrah-Tempranillo,6
Susumaniello,6
Shiraz-Malbec,6
Rotgipfler,6
Pansa Blanca,6
Kalecik Karasi,6
Casavecchia,6
Shiraz-Pinotage,6
Verdejo-Sauvignon Blanc,6
Seyval Blanc,6
Cabernet Franc-Carmenère,6
Malagousia,6
Muscat Blanc à Petit Grain,6
Airen,6
Elbling,6
Garnacha-Monastrell,5
Durif,5
Chardonnay-Sauvignon Blanc,5
Verdeca,5
Angevine,5
Petroulianos,5
Maturana,5
Picpoul,5
Savatiano,5
Malagouzia,5
Syrah-Mourvèdre,5
Duras,5
Jaen,5
Sauvignon Blanc-Verdejo,5
Pinot Noir-Gamay,5
Garnacha-Graciano,5
Provence white blend,5
Robola,5
Symphony,5
Lacrima,5
Malbec-Bonarda,5
Malvasia Nera,5
Mansois,5
Mantonico,5
Grecanico,5
Xinisteri,5
Refosco,5
Trebbiano di Lugana,5
Syrah-Grenache-Viognier,4
Mavrud,4
Macabeo-Chardonnay,4
Vidal,4
Meoru,4
Hárslevelü,4
Cserszegi Fűszeres,4
Favorita,4
Királyleányka,4
Bovale,4
Sangiovese-Syrah,4
Muscadel,4
Shiraz-Mourvèdre,4
Pallagrello Nero,4
Neuburger,4
Pinot-Chardonnay,4
Siegerrebe,4
Okuzgozu,4
Trebbiano-Malvasia,4
Feteasca,4
Black Monukka,4
Nerello Cappuccio,4
Rolle,4
Muskateller,4
Zlahtina,4
Marzemino,4
Cabernet Sauvignon and Tinta Roriz,4
Chardonnay-Albariño,4
Nielluciu,4
Morio Muskat,4
Pallagrello Bianco,4
Merlot-Argaman,4
Merlot-Syrah,4
Cabernet Sauvignon Grenache,4
Tokay Pinot Gris,4
Nasco,4
Muscat d'Alexandrie,4
Tocai Rosso,3
Pinot Blanc-Chardonnay,3
Roussanne-Marsanne,3
Sousão,3
Macabeo-Moscatel,3
Valdiguié,3
Argaman,3
Loin de l'Oeil,3
Nosiola,3
Manzoni,3
Syrah-Cabernet Franc,3
Pignoletto,3
Muscadelle,3
Clairette,3
Vespaiolo,3
Debit,3
Cayuga,3
Cabernet Sauvignon-Merlot-Shiraz,3
Bual,3
St. George,3
Nuragus,3
Sauvignon Blanc-Chenin Blanc,3
Avesso,3
Picapoll,3
Garnacha-Tempranillo,3
Cerceal,3
Tannat-Merlot,3
Prokupac,3
Syrah-Merlot,3
Blatina,3
Feteascǎ Regalǎ,3
Sangiovese-Cabernet Sauvignon,3
Boğazkere,3
Tamjanika,3
Jacquère,3
Mission,3
Lambrusco Grasparossa,3
Pugnitello,3
Cabernet Franc-Cabernet Sauvignon,3
